sample line with timestamp:2021-12-12 12:01:11.382291 
sample line with timestamp:2021-12-12 12:01:16.457850 
sample line with timestamp:2021-12-12 12:01:21.504102 
sample line with timestamp:2021-12-12 12:01:26.549907 
sample line with timestamp:2021-12-12 12:01:31.595780 
sample line with timestamp:2021-12-12 12:01:36.646069 
sample line with timestamp:2021-12-12 12:01:41.690758 
sample line with timestamp:2021-12-12 12:01:46.728007 
sample line with timestamp:2021-12-12 12:01:51.753134 
sample line with timestamp:2021-12-12 12:01:56.801343 
sample line with timestamp:2021-12-12 12:02:34.885274 
sample line with timestamp:2021-12-12 12:02:39.905923 
sample line with timestamp:2021-12-12 12:02:44.947123 
sample line with timestamp:2021-12-12 12:02:49.977361 
sample line with timestamp:2021-12-12 12:02:55.030285 
sample line with timestamp:2021-12-12 12:03:00.074254 
sample line with timestamp:2021-12-12 12:03:05.085559 
sample line with timestamp:2021-12-12 12:03:10.109221 
sample line with timestamp:2021-12-12 12:03:15.138149 
sample line with timestamp:2021-12-12 12:03:20.164083 
sample line with timestamp:2021-12-12 12:03:25.210307 
sample line with timestamp:2021-12-12 12:06:20.473575 
sample line with timestamp:2021-12-12 12:06:25.504058 
sample line with timestamp:2021-12-12 12:06:30.524484 
sample line with timestamp:2021-12-12 12:06:35.572965 
sample line with timestamp:2021-12-12 12:06:40.614388 
sample line with timestamp:2021-12-12 12:06:45.657030 
sample line with timestamp:2021-12-12 12:06:50.739497 
sample line with timestamp:2021-12-12 12:06:55.755854 
